Key,team_id,Season_Year,GP,Season,Date,Home,Opp_Name,GF,GA,Result,OT,Team_S,Team_PIM,Team_PPG,Team_PPO,Team_SHG,Opp_S,Opp_PIM,Opp_PPG,Opp_PPO,Opp_SHG
18-2021-R1,18,2021,1,R,20210114,1,Boston Bruins,2,3,L,0,22,10,0,5,0,37,10,2,5,0
18-2021-R2,18,2021,2,R,20210116,1,Boston Bruins,2,1,W,1,31,11,0,3,0,28,13,0,2,1
18-2021-R3,18,2021,3,R,20210119,0,New York Rangers,4,3,W,0,28,12,1,2,0,50,4,2,6,0
18-2021-R4,18,2021,4,R,20210121,0,New York Islanders,1,4,L,0,31,6,0,1,0,35,2,2,3,0
18-2021-R5,18,2021,5,R,20210124,1,New York Islanders,2,0,W,0,24,4,1,2,0,28,4,0,2,0
18-2021-R6,18,2021,6,R,20210126,1,Philadelphia Flyers,3,5,L,0,26,10,0,1,0,31,2,2,5,0
18-2021-R7,18,2021,7,R,20210128,1,Philadelphia Flyers,1,3,L,0,34,4,0,4,0,17,8,0,2,0
18-2021-R8,18,2021,8,R,20210130,0,Buffalo Sabres,3,4,L,0,34,10,1,5,0,31,10,1,5,0
18-2021-R9,18,2021,9,R,20210131,0,Buffalo Sabres,5,3,W,0,37,8,0,3,0,33,6,2,4,0
18-2021-R10,18,2021,10,R,20210216,0,New York Rangers,5,2,W,0,37,5,1,2,0,39,9,0,0,0
18-2021-R11,18,2021,11,R,20210218,0,Boston Bruins,3,2,W,0,26,10,0,4,1,27,12,2,3,0
18-2021-R12,18,2021,12,R,20210220,1,Buffalo Sabres,2,3,L,0,27,2,1,3,0,29,6,1,1,0
18-2021-R13,18,2021,13,R,20210221,0,Washington Capitals,3,4,L,0,26,8,1,3,0,41,6,3,4,0
18-2021-R14,18,2021,14,R,20210223,1,Buffalo Sabres,1,4,L,0,42,4,0,2,0,37,4,1,2,0
18-2021-R15,18,2021,15,R,20210225,0,Buffalo Sabres,4,3,W,1,40,8,1,4,0,32,8,2,4,0
18-2021-R16,18,2021,16,R,20210227,1,Washington Capitals,2,5,L,0,24,4,1,3,0,24,6,0,2,0
18-2021-R17,18,2021,17,R,20210228,1,Washington Capitals,2,3,L,0,21,11,0,3,0,23,11,0,3,0
18-2021-R18,18,2021,18,R,20210302,1,New York Islanders,1,2,L,0,29,2,0,4,0,20,8,0,1,0
18-2021-R19,18,2021,19,R,20210304,1,New York Rangers,1,6,L,0,36,9,0,4,0,19,13,1,2,0
18-2021-R20,18,2021,20,R,20210306,1,New York Rangers,3,6,L,0,27,10,0,1,0,28,2,1,5,0
18-2021-R21,18,2021,21,R,20210307,0,Boston Bruins,1,0,W,0,25,4,0,3,0,40,6,0,2,0
18-2021-R22,18,2021,22,R,20210309,0,Washington Capitals,4,5,L,1,31,6,0,3,0,30,8,1,2,0
18-2021-R23,18,2021,23,R,20210311,0,New York Islanders,3,5,L,0,22,10,0,1,0,33,2,0,5,0
18-2021-R24,18,2021,24,R,20210313,1,New York Islanders,2,3,L,0,28,8,0,3,0,29,6,0,4,0
18-2021-R25,18,2021,25,R,20210314,1,New York Islanders,2,3,L,0,31,10,1,3,0,34,8,0,4,0
18-2021-R26,18,2021,26,R,20210316,1,Buffalo Sabres,3,2,W,0,27,6,1,3,0,35,8,0,2,0
18-2021-R27,18,2021,27,R,20210318,1,Pittsburgh Penguins,3,2,W,0,35,4,1,1,0,42,2,1,2,0
18-2021-R28,18,2021,28,R,20210320,1,Pittsburgh Penguins,1,3,L,0,25,6,0,4,0,29,10,1,2,0
18-2021-R29,18,2021,29,R,20210321,0,Pittsburgh Penguins,2,1,W,1,35,4,0,2,0,36,4,0,2,0
18-2021-R30,18,2021,30,R,20210323,0,Philadelphia Flyers,4,3,W,0,32,6,1,4,0,33,8,1,3,0
18-2021-R31,18,2021,31,R,20210325,0,Washington Capitals,3,4,L,0,24,4,1,3,0,22,6,0,2,0
18-2021-R32,18,2021,32,R,20210326,0,Washington Capitals,0,4,L,0,24,4,0,3,0,31,6,0,2,0
18-2021-R33,18,2021,33,R,20210328,0,Boston Bruins,1,0,W,0,29,8,0,4,0,40,8,0,4,0
18-2021-R34,18,2021,34,R,20210330,0,Boston Bruins,4,5,L,0,35,6,0,3,0,48,8,1,2,0
18-2021-R35,18,2021,35,R,20210402,1,Washington Capitals,1,2,L,1,23,4,0,2,0,40,4,0,2,0
18-2021-R36,18,2021,36,R,20210404,1,Washington Capitals,4,5,L,0,39,6,0,4,0,19,8,1,3,1
18-2021-R37,18,2021,37,R,20210406,1,Buffalo Sabres,3,5,L,0,30,4,1,3,0,18,6,1,2,0
18-2021-R38,18,2021,38,R,20210408,0,Buffalo Sabres,6,3,W,0,38,6,2,4,0,27,8,1,3,0
18-2021-R39,18,2021,39,R,20210409,1,Pittsburgh Penguins,4,6,L,0,30,8,0,1,0,27,2,2,4,0
18-2021-R40,18,2021,40,R,20210411,1,Pittsburgh Penguins,2,5,L,0,30,2,0,2,0,24,4,1,1,0
18-2021-R41,18,2021,41,R,20210413,1,New York Rangers,0,3,L,0,27,10,0,2,0,20,14,0,0,1
18-2021-R42,18,2021,42,R,20210415,0,New York Rangers,0,4,L,0,16,4,0,3,0,33,6,0,2,0
18-2021-R43,18,2021,43,R,20210417,0,New York Rangers,3,6,L,0,33,10,0,3,0,30,10,2,3,0
18-2021-R44,18,2021,44,R,20210418,1,New York Rangers,3,5,L,0,30,20,0,1,0,25,2,2,5,0
18-2021-R45,18,2021,45,R,20210420,0,Pittsburgh Penguins,6,7,L,0,30,4,1,4,1,32,8,1,2,0
18-2021-R46,18,2021,46,R,20210422,0,Pittsburgh Penguins,1,5,L,0,31,2,0,4,0,23,8,0,1,1
18-2021-R47,18,2021,47,R,20210424,0,Pittsburgh Penguins,2,4,L,0,36,7,0,2,0,37,9,1,1,0
18-2021-R48,18,2021,48,R,20210425,0,Philadelphia Flyers,3,4,L,0,32,2,0,3,0,36,6,0,1,0
18-2021-R49,18,2021,49,R,20210427,1,Philadelphia Flyers,6,4,W,0,27,9,2,2,0,30,9,0,2,0
18-2021-R50,18,2021,50,R,20210429,1,Philadelphia Flyers,5,3,W,0,19,9,2,4,0,24,13,1,2,1
18-2021-R51,18,2021,51,R,20210501,0,Philadelphia Flyers,4,1,W,0,21,4,0,2,1,32,4,0,2,0
18-2021-R52,18,2021,52,R,20210503,1,Boston Bruins,0,3,L,0,20,7,0,1,0,42,7,0,1,0
18-2021-R53,18,2021,53,R,20210504,1,Boston Bruins,4,3,W,1,21,6,1,4,0,36,8,1,3,0
18-2021-R54,18,2021,54,R,20210506,0,New York Islanders,2,1,W,0,25,4,0,1,0,33,2,0,2,0
18-2021-R55,18,2021,55,R,20210508,0,New York Islanders,1,5,L,0,24,6,0,2,0,27,4,1,3,0
18-2021-R56,18,2021,56,R,20210510,0,Philadelphia Flyers,2,4,L,0,25,8,0,2,0,31,4,1,4,0
